日期,代码,简称,价格,信号,理由,RSI,偏离度%,人气值
2026-01-12,513300,纳斯达克100ETF,2.32,建议买入,情绪冰点,44.0,-0.74,0.94
2026-01-12,159941,纳指ETF,1.412,建议买入,情绪冰点,45.3,-0.57,0.92
2026-01-12,520830,沙特ETF,0.91,建议买入,情绪冰点,48.0,0.38,1.47
2026-01-12,512690,酒ETF,0.553,建议买入,情绪冰点,48.6,0.7,1.07
2026-01-12,511010,国债ETF,139.962,建议买入,情绪冰点,49.1,-0.05,1.37
2026-01-12,159985,豆粕ETF,1.974,建议买入,情绪冰点,53.2,0.7,1.23
2026-01-12,560080,中药ETF,1.073,建议买入,情绪冰点,53.8,1.16,1.39
2026-01-12,513500,标普500ETF,2.458,建议买入,情绪冰点,53.9,0.32,0.8
2026-01-12,159920,恒生ETF,1.605,建议买入,情绪冰点,55.4,1.8,1.1
2026-01-12,513520,日经ETF,1.867,建议买入,情绪冰点,57.2,2.53,1.1
2026-01-12,512000,券商ETF,0.599,建议买入,情绪冰点,58.0,2.46,1.69
2026-01-12,511220,城投债ETF,10.206,建议买入,情绪冰点,58.0,0.1,0.79
2026-01-12,513180,恒生科技ETF,0.772,建议买入,情绪冰点,58.2,3.97,1.41
2026-01-12,159806,新能源车ETF,0.844,建议买入,情绪冰点,62.5,5.13,1.31
2026-01-12,159992,创新药ETF,0.897,建议买入,情绪冰点,64.3,4.49,1.58
2026-01-12,510300,沪深300ETF,4.913,建议买入,情绪冰点,66.2,2.97,1.27
2026-01-12,518880,黄金ETF,9.777,建议买入,情绪冰点,66.4,3.21,0.87
2026-01-12,159915,创业板ETF,3.371,建议买入,情绪冰点,67.2,4.98,1.3
2026-01-12,159857,光伏ETF,0.88,建议买入,情绪冰点,67.5,6.56,1.49
2026-01-12,512100,中证1000ETF,3.406,建议卖出,情绪过热,85.5,10.46,1.55
2026-01-12,510500,中证500ETF,8.416,建议卖出,情绪过热,85.4,10.84,1.41
2026-01-12,159531,中证2000ETF,1.53,建议卖出,情绪过热,82.8,9.83,1.27
2026-01-12,512480,半导体ETF,1.646,建议卖出,情绪过热,77.1,10.78,1.23
2026-01-12,588000,科创50ETF,1.594,建议卖出,情绪过热,77.0,10.51,1.4
2026-01-12,513030,德国ETF,1.947,建议卖出,情绪过热,73.9,3.57,1.59
